inter_id,inter_name,eight_direction,adjacent_inter_spacing_m
011ww6tv8sj00001,A34县道与无名道路路口,7,2659.33
011ww6tv91100001,A34县道与无名道路路口,1,1120.07
011ww6tv91100001,A34县道与无名道路路口,4,450.67
011ww6tv9kd00001,无名道路与无名道路路口,3,809.84
011ww6tv9kd00001,无名道路与无名道路路口,5,417.69
011ww6tvbd000001,A34县道与A34县道路口,1,394.41
011ww6tvbd000001,A34县道与A34县道路口,7,756.98
011ww6tvbjz00001,无名道路与少岱路路口,3,219.38
011ww6tvbpt00001,岱南街与岱南街路口,3,96.08
011ww6tvbwk00001,望岱街与少岱路路口,3,296.44
011ww6tvc4g00001,无名道路与A34县道路口,5,394.41
011ww6tvc4g00001,无名道路与A34县道路口,7,809.84
011ww6tvc5500001,A34县道与无名道路路口,3,544.81
011ww6tvc5500001,A34县道与无名道路路口,5,1434.68
011ww6tvcr000001,A34县道与少岱路路口,3,153.01
011ww6tvcr000001,A34县道与少岱路路口,7,544.81
011ww6tvcrt00001,无名道路与少岱路路口,3,255.49
011ww6tvdcs00001,无名道路与无名道路路口,3,157.62
011ww6tvdcs00001,无名道路与无名道路路口,5,1120.07
011ww6tvdcs00001,无名道路与无名道路路口,7,740.87
011ww6tvdff00001,无名道路与无名道路路口,3,299.8
011ww6tvdff00001,无名道路与无名道路路口,7,157.62
011ww6tvdtn00001,无名道路与无名道路路口,3,371.26
011ww6tvdtn00001,无名道路与无名道路路口,7,299.8
011ww6tvf6s00001,无名道路与无名道路路口,3,281.41
011ww6tvf6s00001,无名道路与无名道路路口,5,832.83
011ww6tvf6s00001,无名道路与无名道路路口,7,307.19
011ww6tvf8100001,无名道路与无名道路路口,3,72.08
011ww6tvf8100001,无名道路与无名道路路口,7,371.26
011ww6tvf8800001,无名道路与无名道路路口,1,1594.95
011ww6tvf8800001,无名道路与无名道路路口,3,235.11
011ww6tvfk800001,无名道路与无名道路路口,1,980.66
011ww6tvfk800001,无名道路与无名道路路口,3,466.6
011ww6tvfk800001,无名道路与无名道路路口,7,281.41
011ww6tvgv100001,无名道路与无名道路路口,1,563.58
011ww6tvgv100001,无名道路与无名道路路口,5,980.66
011ww6tvs4r00001,无名道路与无名道路路口,2,2381.81
011ww6tvs4r00001,无名道路与无名道路路口,6,1027.19
011ww6tvsys00001,浪溪河跨河交通桥与浪溪河跨河交通桥路口,6,650.63
011ww6tvsyy00001,浪溪河跨河交通桥与无名道路路口,5,1594.95
011ww6tvsyy00001,浪溪河跨河交通桥与无名道路路口,6,65.27
011ww6tvtp200001,无名道路与无名道路路口,3,466.23
011ww6tvtqp00001,无名道路与无名道路路口,1,656.06
011ww6tvug500001,无名道路与无名道路路口,7,466.23
011ww6tvuww00001,无名道路与无名道路路口,2,504.92
011ww6tvuww00001,无名道路与无名道路路口,5,563.58
011ww6tvvrz00001,无名道路与无名道路路口,5,504.92
011ww6tvwdx00001,无名道路与无名道路路口,1,806.93
011ww6tvwdx00001,无名道路与无名道路路口,6,2485.18
011ww6tvwx100001,无名道路与无名道路路口,1,451.14
011ww6tvwx100001,无名道路与无名道路路口,5,656.06
011ww6tvxdf00001,无名道路与无名道路路口,4,283.58
011ww6tvxex00001,无名道路与无名道路路口,5,806.93
011ww6tvxkg00001,白铁线与无名道路路口,2,441.64
011ww6tvxkg00001,白铁线与无名道路路口,3,369.49
011ww6tvxrb00001,白铁线与无名道路路口,3,367.64
011ww6tvxrb00001,白铁线与无名道路路口,5,451.14
011ww6tvxrb00001,白铁线与无名道路路口,7,653.07
011ww6tvxyw00001,无名道路与无名道路路口,2,535.6
011ww6tvyng00001,无名道路与无名道路路口,1,446.51
011ww6tvyzc00001,无名道路与无名道路路口,5,446.51
011ww6tvz4s00001,白铁线与白铁线路口,3,714.84
011ww6tvz4s00001,白铁线与白铁线路口,7,367.64
011ww6tw0uj00001,狼溪河路与狼溪河路路口,5,1780.18
011ww6tw3bb00001,无名道路与无名道路路口,3,438.62
011ww6tw3bb00001,无名道路与无名道路路口,8,967.85
011ww6tw3hq00001,洪范池路与A33县道路口,1,1510.7
011ww6tw3hq00001,洪范池路与A33县道路口,3,1772.73
011ww6tw3hq00001,洪范池路与A33县道路口,5,2959.28
011ww6tw3u300001,无名道路与洪范池路路口,5,362.01
011ww6tw3u300001,无名道路与洪范池路路口,7,438.62
011ww6tw47h00001,狼溪河路与狼溪河路路口,4,967.85
011ww6tw47h00001,狼溪河路与狼溪河路路口,5,893.36
011ww6tw49m00001,狼溪河路与狼溪河路路口,4,281.77
011ww6tw72f00001,洪范池路与洪范池路路口,1,2086.17
011ww6tw72f00001,洪范池路与洪范池路路口,4,1148.69
011ww6tw72f00001,洪范池路与洪范池路路口,8,799.48
011ww6twb9f00001,大寨山路与杨大路路口,3,1501.55
011ww6twb9f00001,大寨山路与杨大路路口,4,2803.28
011ww6twb9f00001,大寨山路与杨大路路口,7,1772.73
011ww6twhm500001,无名道路与无名道路路口,1,756.68
011ww6twhm500001,无名道路与无名道路路口,4,799.48
011ww6twj1p00001,无名道路与无名道路路口,3,446.62
011ww6twj1p00001,无名道路与无名道路路口,7,377.99
011ww6twjh100001,无名道路与无名道路路口,5,446.41
011ww6twjh100001,无名道路与无名道路路口,7,446.62
011ww6twjs100001,无名道路与无名道路路口,3,417.57
011ww6twjs100001,无名道路与无名道路路口,5,310.27
011ww6twjs100001,无名道路与无名道路路口,8,1163.09
011ww6twjx200001,无名道路与无名道路路口,7,417.57
011ww6twjxq00001,洪范池路与洪范池路路口,1,102.46
011ww6twjxq00001,洪范池路与洪范池路路口,5,1525.1
011ww6twjze00001,无名道路与无名道路路口,1,264.41
011ww6twjze00001,无名道路与无名道路路口,5,102.46
011ww6twndx00001,无名道路与东马线路口,1,551.33
011ww6twndx00001,无名道路与东马线路口,8,801.53
011ww6twnk700001,洪范池路与洪范池路路口,4,561.07
011ww6twnkk00001,无名道路与谷城路路口,1,298.87
011ww6twnkk00001,无名道路与谷城路路口,3,413.77
011ww6twnkk00001,无名道路与谷城路路口,5,512.79
011ww6twnr900001,无名道路与无名道路路口,1,318.6
011ww6twnr900001,无名道路与无名道路路口,5,264.41
011ww6twnr900001,无名道路与无名道路路口,7,413.77
011ww6twnue00001,岔口,1,691.47
011ww6twnzf00001,无名道路与无名道路路口,1,282.31
011ww6twnzf00001,无名道路与无名道路路口,5,318.6
011ww6twpe500001,东马线与市场路路口,1,272.57
011ww6twprb00001,无名道路与无名道路路口,3,1497.65
011ww6twprb00001,无名道路与无名道路路口,5,282.31
011ww6twpzm00001,岱南街与和平路路口,1,725.32
011ww6twpzm00001,岱南街与和平路路口,5,470.81
011ww6twpzm00001,岱南街与和平路路口,7,269.62
011ww6twv4s00001,无名道路与无名道路路口,1,2107.48
011ww6twvu000001,无名道路与无名道路路口,6,411.41
011ww6twwet00001,无名道路与无名道路路口,4,1544.12
011ww6twwet00001,无名道路与无名道路路口,7,1968.46
011ww6twxzx00001,无名道路与无名道路路口,7,1156.68
011ww6twxzx00002,无名道路与无名道路路口,4,1696.07
011ww6tx1sc00001,杨大路与小陶路路口,1,1050.56
011ww6tx1sc00001,杨大路与小陶路路口,3,1542.67
011ww6tx1sc00001,杨大路与小陶路路口,7,1501.55
011ww6tx5ng00001,小陶路与小陶路路口,5,1050.56
011ww6tx9c000001,杨大路与杨大路路口,7,1542.67
011ww6txvw600001,李石线与李石线路口,2,1500.95
011ww6txy5300001,李石线与李石线路口,8,594.77
011ww6txyck00001,石姜线与石姜线路口,2,1985.44
011ww6txyck00001,石姜线与石姜线路口,4,594.77
011ww6txyck00001,石姜线与石姜线路口,8,1899.24
011ww6ty00s00001,东马线与220国道路口,1,251.07
011ww6ty00s00001,东马线与220国道路口,3,345.45
011ww6ty00s00001,东马线与220国道路口,6,3249.39
011ww6ty00s00001,东马线与220国道路口,7,315.46
011ww6ty05600001,岱南街与市场路路口,3,241.98
011ww6ty05600001,岱南街与市场路路口,5,823.9
011ww6ty07x00001,望岱街与市场路路口,1,212.53
011ww6ty07x00001,望岱街与市场路路口,3,242.18
011ww6ty08c00001,望岱街与阿胶路路口,1,395.75
011ww6ty08c00001,望岱街与阿胶路路口,3,158.46
011ww6ty08c00001,望岱街与阿胶路路口,5,247.48
011ww6ty08c00001,望岱街与阿胶路路口,7,296.44
011ww6ty0ch00001,文化街与阿胶路路口,3,158.04
011ww6ty0d000002,望岱街与无名道路路口,1,205.46
011ww6ty0d000002,望岱街与无名道路路口,3,58.19
011ww6ty0d800001,岔口,3,109.95
011ww6ty0f700001,文化街与无名道路路口,3,162.8
011ww6ty0f700001,文化街与无名道路路口,5,205.46
011ww6ty0f700001,文化街与无名道路路口,7,158.04
011ww6ty0fm00001,无名道路与无名道路路口,1,52.94
011ww6ty0fm00001,无名道路与无名道路路口,3,160.69
011ww6ty0gd00001,文化街与文化街路口,3,242.17
011ww6ty0gd00001,文化街与文化街路口,5,212.53
011ww6ty0gd00001,文化街与文化街路口,7,162.8
011ww6ty0gu00001,无名道路与无名道路路口,1,52.2
011ww6ty0gu00001,无名道路与无名道路路口,7,160.69
011ww6ty0gz00001,无名道路与市场路路口,5,52.2
011ww6ty0gz00001,无名道路与市场路路口,7,159.34
011ww6ty0j200001,岱南街与谷城路路口,1,242.52
011ww6ty0j200001,岱南街与谷城路路口,3,269.62
011ww6ty0j200001,岱南街与谷城路路口,5,990.65
011ww6ty0j200001,岱南街与谷城路路口,7,587.43
011ww6ty0mk00001,望岱街与谷城路路口,1,160.45
011ww6ty0mk00001,望岱街与谷城路路口,3,265.57
011ww6ty0mk00001,望岱街与谷城路路口,5,245.06
011ww6ty0mk00001,望岱街与谷城路路口,7,581.95
011ww6ty0rd00001,无名道路与乔孟路路口,3,524.01
011ww6ty0rd00001,无名道路与乔孟路路口,5,248.89
011ww6ty0rd00001,无名道路与乔孟路路口,7,265.57
011ww6ty0tt00001,岔口,1,65.32
011ww6ty0v800001,文化街与文化街路口,1,223.56
011ww6ty0v800001,文化街与文化街路口,5,231.27
011ww6ty0v800001,文化街与文化街路口,7,242.17
011ww6ty10r00001,A34县道与岱北街路口,3,120.06
011ww6ty11q00001,154县道与220国道路口,1,524.9
011ww6ty11q00001,154县道与220国道路口,3,145.07
011ww6ty11q00001,154县道与220国道路口,5,392.43
011ww6ty11q00001,154县道与220国道路口,7,273.07
011ww6ty13e00001,无名道路与无名道路路口,7,255.49
011ww6ty14800001,无名道路与无名道路路口,1,99.67
011ww6ty14800001,无名道路与无名道路路口,3,159.34
011ww6ty14800001,无名道路与无名道路路口,5,52.94
011ww6ty14t00001,岱北街与无名道路路口,3,156.2
011ww6ty14t00001,岱北街与无名道路路口,5,99.67
011ww6ty14t00001,岱北街与无名道路路口,7,145.07
011ww6ty15v00001,154县道与市场路路口,1,474.96
011ww6ty15v00001,154县道与市场路路口,3,243.72
011ww6ty15v00001,154县道与市场路路口,7,156.2
011ww6ty1bj00001,无名道路与少岱路路口,3,243.0
011ww6ty1f500001,无名道路与无名道路路口,7,243.0
011ww6ty1ju00001,谷城路与154县道路口,1,227.69
011ww6ty1ju00001,谷城路与154县道路口,3,144.55
011ww6ty1ju00001,谷城路与154县道路口,5,223.4
011ww6ty1ju00001,谷城路与154县道路口,7,243.72
011ww6ty1ph00001,岱北街与无名道路路口,3,117.63
011ww6ty1uq00001,无名道路与市场路路口,3,240.66
011ww6ty1uq00001,无名道路与市场路路口,5,474.96
011ww6ty1uq00001,无名道路与市场路路口,7,241.14
011ww6ty1w000001,岔口,1,207.79
011ww6ty1y700001,无名道路与谷城路路口,1,187.57
011ww6ty1y700001,无名道路与谷城路路口,5,433.89
011ww6ty1y700001,无名道路与谷城路路口,7,240.66
011ww6ty25y00001,无名道路与无名道路路口,7,524.01
011ww6ty2xp00001,无名道路与无名道路路口,1,880.22
011ww6ty2xp00001,无名道路与无名道路路口,3,1156.68
011ww6ty30500001,无名道路与和平路路口,1,170.55
011ww6ty30500001,无名道路与和平路路口,3,243.28
011ww6ty30500001,无名道路与和平路路口,5,476.43
011ww6ty30500001,无名道路与和平路路口,7,262.18
011ww6ty32h00001,和平路与乔孟路路口,1,555.71
011ww6ty34400001,无名道路与无名道路路口,7,243.28
011ww6ty42300001,无名道路与少岱路路口,1,102.8
011ww6ty42300001,无名道路与少岱路路口,3,475.49
011ww6ty42300001,无名道路与少岱路路口,5,1773.36
011ww6ty42300001,无名道路与少岱路路口,7,466.6
011ww6ty42q00001,少岱路与王旧线路口,2,563.93
011ww6ty42q00001,少岱路与王旧线路口,5,102.8
011ww6ty44300001,无名道路与220国道路口,2,644.41
011ww6ty44300001,无名道路与220国道路口,3,241.14
011ww6ty47k00001,无名道路与无名道路路口,7,380.72
011ww6ty4nk00001,岔口,1,224.66
011ww6ty4w900001,谷城路与220国道路口,3,1258.86
011ww6ty4w900001,谷城路与220国道路口,5,416.22
011ww6ty4w900001,谷城路与220国道路口,6,1152.89
011ww6ty56800001,王旧线与AE8乡道路口,2,2188.57
011ww6ty56800001,王旧线与AE8乡道路口,6,563.93
011ww6ty62900001,无名道路与和平路路口,1,186.01
011ww6ty62900001,无名道路与和平路路口,3,215.68
011ww6ty66200001,无名道路与无名道路路口,3,688.16
011ww6ty66200001,无名道路与无名道路路口,7,215.68
011ww6ty68g00001,220国道与和平路路口,5,912.26
011ww6ty6dt00001,220国道与无名道路路口,1,2993.79
011ww6ty6pu00001,无名道路与无名道路路口,1,539.64
011ww6ty6pu00001,无名道路与无名道路路口,7,688.16
011ww6tye0900001,220国道与无名道路路口,2,1833.97
011ww6tye0900001,220国道与无名道路路口,5,1419.86
011ww6tye0900001,220国道与无名道路路口,7,1257.38
011ww6tyeqj00001,220国道与小南路路口,1,1119.86
011ww6tyg9g00001,A34县道与A34县道路口,7,79.66
011ww6tygdh00001,岔口,3,310.31
011ww6tygu800001,A34县道与无名道路路口,1,280.36
011ww6tygu800001,A34县道与无名道路路口,3,556.97
011ww6tymsy00001,无名道路与无名道路路口,3,1223.18
011ww6tymsy00001,无名道路与无名道路路口,5,1867.42
011ww6tyn1t00001,无名道路与无名道路路口,1,428.03
011ww6tynbm00001,白铁线与无名道路路口,2,1798.0
011ww6tynbm00001,白铁线与无名道路路口,3,140.25
011ww6tynbm00001,白铁线与无名道路路口,6,88.82
011ww6tynck00001,白铁线与无名道路路口,3,1015.54
011ww6tynck00001,白铁线与无名道路路口,5,428.03
011ww6tyq9900001,白铁线与AE8乡道路口,2,839.2
011ww6tyq9900001,白铁线与AE8乡道路口,3,493.79
011ww6tyq9900001,白铁线与AE8乡道路口,6,2188.57
011ww6tyqmm00001,无名道路与无名道路路口,3,346.47
011ww6tyqmm00001,无名道路与无名道路路口,5,432.19
011ww6tyqmm00001,无名道路与无名道路路口,7,2364.41
011ww6tyrw100001,樱花大道与AE8乡道路口,1,806.06
011ww6tyrw100001,樱花大道与AE8乡道路口,6,839.2
011ww6tyrw300001,无名道路与无名道路路口,3,577.57
011ww6tyrw300001,无名道路与无名道路路口,5,694.17
011ww6tytq800001,无名道路与小南路路口,1,215.15
011ww6tytq800001,无名道路与小南路路口,5,1119.86
011ww6tytq800001,无名道路与小南路路口,7,1223.18
011ww6tytwg00001,小南路与小南路路口,1,284.75
011ww6tytwg00001,小南路与小南路路口,5,215.15
011ww6tyu7900001,无名道路与220国道路口,3,204.46
011ww6tyud500001,无名道路与无名道路路口,3,228.12
011ww6tyueg00001,无名道路与220国道路口,2,889.05
011ww6tyueg00001,无名道路与220国道路口,3,740.58
011ww6tyueg00001,无名道路与220国道路口,7,228.12
011ww6tyujn00001,无名道路与无名道路路口,3,549.23
011ww6tyujn00001,无名道路与无名道路路口,5,280.36
011ww6tyvm700001,无名道路与220国道路口,3,1062.62
011ww6tyvwm00001,无名道路与无名道路路口,2,194.65
011ww6tyvyy00001,无名道路与无名道路路口,1,369.13
011ww6tyvyy00001,无名道路与无名道路路口,6,194.65
011ww6tyvyy00001,无名道路与无名道路路口,7,215.46
011ww6tyvzk00001,220国道与220国道路口,2,3535.66
011ww6tyw2400001,无名道路与无名道路路口,3,875.34
011ww6tyw2400001,无名道路与无名道路路口,7,346.47
011ww6tywp400001,无名道路与小南路路口,1,239.21
011ww6tywp400001,无名道路与小南路路口,3,756.9
011ww6tywp400001,无名道路与小南路路口,5,284.75
011ww6tywp400001,无名道路与小南路路口,7,875.34
011ww6tywrr00001,无名道路与小南路路口,1,543.04
011ww6tywrr00001,无名道路与小南路路口,3,691.64
011ww6tywrr00001,无名道路与小南路路口,5,239.21
011ww6tyx6u00001,岔口,3,267.48
011ww6tyxm400001,岔口,3,121.24
011ww6tyxq100001,樱花大道与小南路路口,1,780.75
011ww6tyxq100001,樱花大道与小南路路口,3,1145.93
011ww6tyxq100001,樱花大道与小南路路口,4,543.04
011ww6tyxq100001,樱花大道与小南路路口,7,966.32
011ww6tyyj700001,无名道路与无名道路路口,3,215.46
011ww6tyyj700001,无名道路与无名道路路口,7,756.9
011ww6tyymn00001,无名道路与无名道路路口,7,691.64
011ww6tyyx400001,无名道路与无名道路路口,1,240.54
011ww6tyyx400001,无名道路与无名道路路口,2,911.66
011ww6tyyzn00001,樱花大道与无名道路路口,1,758.34
011ww6tyyzn00001,樱花大道与无名道路路口,5,609.67
011ww6tyyzn00001,樱花大道与无名道路路口,7,1145.93
011ww6tz0v000001,龙西线与龙西线路口,1,1565.93
011ww6tz58c00001,石姜线与无名道路路口,1,254.95
011ww6tz58c00001,石姜线与无名道路路口,3,522.77
011ww6tz5cq00001,无名道路与无名道路路口,1,64.39
011ww6tz5cq00001,无名道路与无名道路路口,5,254.95
011ww6tz5cq00001,无名道路与无名道路路口,7,753.68
011ww6tz5kg00001,石姜线与龙西线路口,3,601.53
011ww6tz5kg00001,石姜线与龙西线路口,5,1565.93
011ww6tz5kg00001,石姜线与龙西线路口,7,1420.03
011ww6tz71d00001,石姜线与龙西线路口,1,470.6
011ww6tz71d00001,石姜线与龙西线路口,4,2061.45
011ww6tz7fd00001,龙西线与龙西线路口,3,1799.5
011ww6tz7fd00001,龙西线与龙西线路口,5,470.6
011ww6tz7fd00001,龙西线与龙西线路口,7,614.08
011ww6tz80q00001,无名道路与无名道路路口,2,831.23
011ww6tz97b00001,石姜线与石姜线路口,4,1899.24
011ww6tz97b00001,石姜线与石姜线路口,6,831.23
011ww6tz97b00001,石姜线与石姜线路口,8,2662.98
011ww6tzh1900001,岔口,1,94.53
011ww6tzh1w00001,岔口,1,55.16
011ww6tzh3c00001,无名道路与无名道路路口,3,125.74
011ww6tzh3c00001,无名道路与无名道路路口,5,213.84
011ww6tzh3c00001,无名道路与无名道路路口,7,740.58
011ww6tzh4z00001,无名道路与无名道路路口,3,380.41
011ww6tzh4z00001,无名道路与无名道路路口,7,125.74
011ww6tzhjf00001,无名道路与无名道路路口,3,614.08
011ww6tzhjf00001,无名道路与无名道路路口,7,380.41
011ww6tzhvz00001,无名道路与无名道路路口,7,1062.62
011ww6tzpk700001,无名道路与无名道路路口,6,911.66
011ww6tzub500001,龙西线与龙西线路口,7,1799.5
011ww6v1d7d00001,243省道与亓商线路口,1,447.78
011ww6v1d7d00001,243省道与亓商线路口,3,729.36
011ww6v1d7d00001,243省道与亓商线路口,7,254.8
011ww6v1egw00001,080县道与080县道路口,3,126.92
011ww6v1eh400001,无名道路与亓商线路口,1,523.85
011ww6v1eh400001,无名道路与亓商线路口,3,713.9
011ww6v1eh400001,无名道路与亓商线路口,5,447.78
011ww6v1eut00001,亓商线与亓商线路口,3,197.25
011ww6v1eut00001,亓商线与亓商线路口,5,523.85
011ww6v1eut00001,亓商线与亓商线路口,7,126.92
011ww6v1ey500001,080县道与无名道路路口,1,383.53
011ww6v1ey500001,080县道与无名道路路口,3,508.1
011ww6v1ey500001,080县道与无名道路路口,7,197.25
011ww6v1fcv00001,无名道路与无名道路路口,1,512.19
011ww6v1fcv00001,无名道路与无名道路路口,7,713.9
011ww6v1gf200001,无名道路与无名道路路口,5,512.19
011ww6v1gf200001,无名道路与无名道路路口,7,508.1
011ww6v1r6t00001,谷岭路与谷岭路路口,3,450.81
011ww6v1rch00001,无名道路与无名道路路口,3,758.11
011ww6v1rq200001,谷岭路与孝双线路口,2,255.89
011ww6v1rq200001,谷岭路与孝双线路口,3,1122.41
011ww6v1rq200001,谷岭路与孝双线路口,7,450.81
011ww6v1rxh00001,无名道路与孝双线路口,2,921.69
011ww6v1rxh00001,无名道路与孝双线路口,7,758.11
011ww6v1sqx00001,无名道路与亓商线路口,1,569.43
011ww6v1sqx00001,无名道路与亓商线路口,5,383.53
011ww6v1trg00001,亓商线与亓商线路口,1,922.83
011ww6v1uvh00001,无名道路与无名道路路口,7,455.07
011ww6v1v1200001,无名道路与亓双线路口,1,176.85
011ww6v1v1200001,无名道路与亓双线路口,3,455.07
011ww6v1v3d00001,亓双线与亓双线路口,1,590.48
011ww6v1v3d00001,亓双线与亓双线路口,5,176.85
011ww6v1vt300001,无名道路与无名道路路口,1,325.9
011ww6v1vt300001,无名道路与无名道路路口,3,633.59
011ww6v1wzh00001,谷岭路与无名道路路口,1,411.93
011ww6v1wzh00001,谷岭路与无名道路路口,3,119.42
011ww6v1wzh00001,谷岭路与无名道路路口,7,1122.41
011ww6v1xxd00001,无名道路与无名道路路口,1,624.28
011ww6v1xxd00001,无名道路与无名道路路口,3,826.6
011ww6v1y3c00001,无名道路与亓双线路口,1,313.79
011ww6v1yb500001,谷岭路与无名道路路口,3,210.88
011ww6v1yb500001,谷岭路与无名道路路口,5,1492.26
011ww6v1yb500001,谷岭路与无名道路路口,7,119.42
011ww6v1ycc00001,亓双线与亓双线路口,3,138.25
011ww6v1ycc00001,亓双线与亓双线路口,5,904.27
